text,Status
"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?",TRUE
@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,
@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,
@115827 Thanks for your patience. ^KM,TRUE
@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,
PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o,
@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,
"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",
@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,
@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,
@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,TRUE
"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",
@115834 Were you able to reach us at the link DW provided? ^TR,TRUE
@AmazonHelp Hi ready for some help,
"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",TRUE
@AmazonHelp Is the Echo Show no longer supported?,
@AmazonHelp Nothing there helped me with the Echo Show,
"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",TRUE
"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",
@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,
@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,
@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,TRUE
.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,
@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,TRUE
"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K",
@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,
"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",
"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",TRUE
@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,TRUE
@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,TRUE
@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,
@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,TRUE
"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",
@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,TRUE
"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",
@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,
@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,
CONCURSO 👻🎃:Tarjetas regalo en @115821 por tu foto en la cama disfrazado y #ColchonMorfeoHalloween en los post promo:https://t.co/xAsY6KwLZa https://t.co/7yOZvlwBwN,
"@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",
"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",
@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,TRUE
@AmazonHelp Aww your reply made her night!,
"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",TRUE
@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,TRUE
@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.,
@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,
@115844 WHAT IN THE WORLD?!,
"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",
@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,
@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,
@115846 @115821 Remember my head phones and they brought them within minutes,
My package from @115821 with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.,
@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,TRUE
@115821  https://t.co/Gb0beuA3IN,
How @115821 packages china https://t.co/fO9vbus18E,
@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,TRUE
@AmazonHelp Details sent. Please check.,
@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,TRUE
@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,
@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,TRUE
@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,
@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,TRUE
@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,
@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,TRUE
Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,
@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,
@AppleSupport The newest update. I️ made sure to download it yesterday.,
@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,
@AppleSupport  https://t.co/NV0yucs0lB,
@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE,
@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,
@AppleSupport Tried resetting my settings .. restarting my phone .. all that,
@115855 Any steps tried since it started last night?,
@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,
@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,
@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,
@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,
@AppleSupport I️ need answers because it’s annoying 🙃,
Why are my I’s question marks ?,
What is up with this “ I️ “,
"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",
@AppleSupport Just sent you all my DM,
"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",
@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,
@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,
"@115857 Fill us in on what is happening, then we can help out from there.",
Tf is wrong with my keyboard @115858,
@115859 We've received your DM and will continue there.,
@AppleSupport are the call centres closed for the night?,
@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,
@115858 @AppleSupport hello are all the lines closed for tonight #help,
"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",
@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,
@115862 @AppleSupport I will!,
@AppleSupport @115861 We’re going to need you to share the answers Angela. I️ can’t stand this!,.
"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",
"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7",
@115863 Go ahead and send us a DM please. Let us know the country you're in.,
@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,
"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",
@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,
"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",
Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,
@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,
@AppleSupport iOS 11.0.3,
"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.",
@AppleSupport Okey. Thank you! 🤗,
"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",
@AppleSupport iPhone 7 Plus 😊,
@115865 Hi there! What type of device are we working with?,
@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,.
@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,
Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,
@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,
@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,
@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,
@AppleSupport ? hello,
"@AppleSupport my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?",
"@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",
"@AppleSupport Yes it did, 11.0.3",
@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,
MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,
@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT,
Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,
@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT,
@AppleSupport I can not find an option to get it there. It was just always there when playing.,
"@115870 Just to confirm, this is only happening with Spotify, correct?",
@AppleSupport The app is still there. But no longer able to control it from the lockscreen.,
@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,
After update #ios1103 no spotify on my lock screen?@AppleSupport,
@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT,
I just need @115858 to do something about the battery life because it sucks ass,
@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,
@Uber_Support Already did that was told we requested to dropped off somewhere different which is completely false.,
@115872 We apologize for the trouble! Send us a DM with your email address and we'll connect.,
@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,TRUE
"@115874 We're here to help! Send us a note here, https://t.co/WFtPA6RjWt and our team will be in touch.",
@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm,
"@115875 We’re here to help, Travis! Send us a note via https://t.co/dwDjAokZht and we'll be in touch.",TRUE
@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg,
@115876 For more info about UberEats availability click here; https://t.co/3A9YFZQFaF,
@115877 got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! https://t.co/BGzU59vYJS,
@115878 We have received your DM and will follow up with you there.,
@Uber_Support @115879 wouldn't do this to me 😔,
@Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous,
@115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?,
Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️,
"@115880 We're sorry to hear this was your experience, Ray. Please contact us via https://t.co/aBEgvdNWQN and we'll be in touch.",
"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!",
"@115881 Hi Cade, thanks so much for sending that over. I have sent an email to the Store Manager to look into this for you. 1/2",TRUE
"@Tesco Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didn’t queue up like others",
"@115881 Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? - Nick",TRUE
@Tesco 3/3 on the wrong which I really don’t appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed in😡,
@115882 I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT,TRUE
@Delta I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.,TRUE
"@115882 My apologies. If that flight never showed up on your search, that would mean it was full.  *TMT",
"@Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning.",
@115883 Please share additional details about the nature of this technical issue.  *AFC,TRUE
@Delta Via DM?,
@115883 Please do.  *AFC https://t.co/6iDGBJAc2m,
@Delta Just DM'd you with a screenshot and explanation.  😊,
@Delta It seems this technical issue still hasn't Ben fixed.   Can you look into it again?  🙆🏼‍♂️,TRUE
"@115883 I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC",TRUE
"@Delta The ""change flight"" search option on your website is broken once again.  😑",
"@115884 Oh, no! Please speak to a member of the flt crew for immediate assistance. *AAB",TRUE
.@delta this has been my inflight studio experience today. Nothing works except Twitter #toobadforyouandme https://t.co/VLo4ufL73y,
@115885 2/2 https://t.co/6iDGBJAc2m,
@Delta Is that not what I’ve done already?,
@Delta Can you reply on the DM thread?,
@Delta I did this some time ago now but haven’t heard from you...,
"@115885 Hello, Richard! Please DM your confirmation# and I will try to assist. *TCC",TRUE
"@Delta Actually, I just looked again and they disagree and say it's on you. Any idea what I should do? https://t.co/twIogKd3Kx",
@Delta Hi - and thanks. Think I just figured this out. Would it be you’re not running the MEX-MID flight so I need to check in via AeroMexico?,TRUE
"@115885 Hi, Richard. Can you pls DM your confirmation number so I may look into this matter for you? Thanks! *TJF https://t.co/6iDGBJAc2m",TRUE
"@Delta I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?",TRUE
"@115885 Hi Richard, I apologize for the delayed response time. Please DM your conf # so I can review your trip details.  *TLT... 1/2",TRUE
@115886 We sincerely apologize for your disappointment. We always strive to create a positive customer experience. *AJC,TRUE
@Delta #Again #nothing #bs #no #answers,
"@115886 Hi Caesar, can you DM your confirmation # to the link provided? I will be glad to look into this for you.   *TBT https://t.co/6iDGBJAc2m",TRUE
@Delta Same again! #equipment #change #no #guaranteed #seats #apologies I’ll DM you if you can give me a #real #answer and no #standard #bs #answers,
@115886 I would be glad to look into this for you.  *TBT,TRUE
"@Delta OK it was not a full flight, #equipment change had nothing to do with comfort class, no #disabilities (and a handling agent telling #customer #care would take care of us) So please non of these as an excuse! I’ll retwitter your reply! Thanks",
@115886 Thanks for your patience. *HCK,TRUE
@115886 Thanks!  *HCK,TRUE
@115886 Thank you for being the most important part of Delta.  https://t.co/YfI5Cj9udk *HCK,TRUE
"@115886 I am including a link of our Commitment to our customers, please let us know if we can be of further assistance.  *HCK",TRUE
@115886 It can be difficult to assign the same seating because the aircraft configuration may be different.  *HCK,TRUE
@115886 ...possible. *HCK 2/2,TRUE
"@115886 Unfortunately, we are not able to guarantee seats nor flight schedules.  *HCK",TRUE
"@115886 Hi Caesar, I thank you for your patience. I had an opportunity to read the thread. *HCK",TRUE
@115886 Please remember that help is just a tweet away. Have a wonderful evening.  *HCK,TRUE
"@Delta Obviously you didn't read what already was said before, you do give exactly the same bs answers. I know there is no guarantee but I like to know why they moved us. I know, because a #Delta employee was sitting in my seat and you can't say that 😡😡😡",
@115886 ...guaranteed. It was changed because operational needs required such.  *ABN 3/3,TRUE
@Delta Is this a #computer #answering my tweets? 😂😂😂 #unbelievable!!!!! same #stupid #answers!!,
@115886 You're receiving the same answers because the information that's being relayed is the same.  *ABN,TRUE
@115886 *a real *ABN,TRUE
@Delta Even #worse 😜,
"@115886 ...Thank you for tweeting us tonight, Caesar. *ABN 2/2",TRUE
@115886 I regret that you aren't happy with the information given and apologize for not being able to address your concerns via this channel.... 1/2,
"@115886 I assure you, I'm areal person, Caesar.  *ABN",TRUE
"@115886 ...to shift. Because of such, though we try our best to honor seat requests, do note - it's just that, a request and is not... 2/3",
"@115886 I understand your frustration and apologize again for your experience. As previously explained, schedule changes occur causing seats... 1/3",
@115886 Thank you for being the most important part of Delta.  *HCK,TRUE
"@115886 May I have your ticket number, please? Unfortunately, the confirmation provide is no longer active.  *HCK",TRUE
@Delta 0062395415777,
"@115886 Good evening, Caesar!  *HCK",TRUE
"@115886 I would like to sincerely apologize for the stress, frustration, and the inconvenience that you endured due to an equipment change.  *HCK",TRUE
"@115886 In the event of an equipment change, we put forth our best efforts to seat everyone together as they were, but sometimes that is not... 1/2",
@delta #delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!,
@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,TRUE
@SpotifyCares doesn’t work and i even tried deleting the app,
@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,
@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,
"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",TRUE
@SpotifyCares iphone 7+ and i have the most recent update for spotify,
"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",TRUE
i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,
"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",TRUE
"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",
@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,TRUE
@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,
@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,TRUE
@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,.
"@115891 No worries. If you have other questions, just give us a shout 😉 /GS",TRUE
@SpotifyCares ok thx,
"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",TRUE
is there a way to find non-explicit songs that are explicit @SpotifyCares,
"@115892 caused. We're unable to offer a complimentary upgrade, however we can quote an upgrade if you would like us to? ^Jane 2/2",TRUE
"@British_Airways Sure, how much would an upgrade cost, out of curiosity?",
"@115892 Please can you DM us your booking reference, email address and contact number? We can then look into this for you. Thanks. ^Jane",TRUE
"@British_Airways Or, more importantly, are there earlier flights than the itinerary I was rebooked on? That's my preference.",
"@British_Airways This itinerary is preferred--I was unable to view other options in the ""Manage my Booking"" link included in the original cancelation email. https://t.co/kfddWeSW49",
@British_Airways I assume that being Sapphire does not matter? I'll have to find a way from IAD to BWI upon landing... Because that's where my car is parked.,
"Hi @British_Airways! My flight from MAN--LHR--BWI for Nov. 3 was canceled. I was excited to try your Club 787 product. Only available flight is now to IAD which is a hassle, but rebooked anyway--my only option! Any availability in first class on BA293 for the troubles please?",TRUE
@115893 email address and contact telephone number. We'll look into your complaint and contact you for an update 2/2. ^Oliver,TRUE
"@British_Airways You have all my info.  Check with Sanket Thakur.  Supposedly, he/she is a ""customer service"" rep.  Reference number is 16934380.",TRUE
"@British_Airways  will you ever address my complaint/claim?  Or, do you just ignore it until the 2 yrs are up?",
@115894 email address and contact telephone number. We apologise for the delay in our response 2/2. ^Oliver,TRUE
"@British_Airways Booking ref MP79V2 and QMAS91 second one is my son's, have sent all info in being told I'm not entitled to anything?",TRUE
"@115894 us your booking ref, email address and contact number. 2/2 ^Linda",TRUE
@British_Airways Will you pay me my hotel and good bill for cancelling my flight home,
Get the payday party started with 40 European Destinations for £40 each-way or less,
"@115895 Hi Sam, that is the correct email. ^Helen",TRUE
@British_Airways can I just confirm the email that would send passport details to change a name on a ticket is __email__?,
"@115896 Hi Sreejit, we have no info about this as yet. Please keep an eye online as this will be updated as soon as we know. ^Helen",TRUE
"@British_Airways https://t.co/NM3ZczuH2W here's the news article in case you guys need it. If you have any updates in the future, do share. Thanks.",
"@115896 Thanks Sreejit, we would recommend checking on Manage My Booking for any updates. ^Jane",TRUE
"@British_Airways runway is under maintenance at Delhi from 7 nov. flights have been cancelled. Wanted to know status of BA0257, lhr-del 7nov",TRUE
"@115897 Hi David, confirmation emails can take up to 24 hrs. Have you been waiting longer than this? ^Helen",TRUE
@British_Airways It's been 24 hours now. Could you please assist? Thanks. My email address is __email__,
"@British_Airways Not yet, but I thought it was strange that I received a confirmation email for one of the flights, but not the other. Thanks.",
"@115897 Hi David, could you let us know the flights you've booked and dates of travel, along with your full name and contact number. Thanks. ^Sophie",TRUE
"@British_Airways Amsterdam to London on 28/11/17
London to Athens on 30/11/17 - have received confirmation for this

Contact: +49 1708733216",TRUE
@British_Airways Full name: David Simons,TRUE
"@British_Airways Any update, Sophie? Thanks.",TRUE
"@115897 We'll check this for you, David. Can you provide us with the booking reference for the confirmation you have? Please send this via DM. ^R",TRUE
"@British_Airways I made two bookings, but only received a confirmation email for one of the flights. Little help?",
@115898 I definitely want to make sure your charges are correct. Please DM me your address and phone# so I can better assist. -SLM,TRUE
@comcastcares ✔,
.@comcastcares tired of getting charged for equipment that was returned months ago. Please stop it.,
"@115899 address, and phone number so I can assist further with this issue. Thanks! -KW",TRUE
@comcastcares Sent and thank you,
@115900 hi I got some odd text alert from you I don't have your service why would I get alerts,
"@115899 Hi, I'll be happy to look into the text you received and see what I can do to help. Please send a DM with your full name,",
"@115901 Hello, have you checked your scheduled menu? You may have a series recording scheduled. - Matt",TRUE
@comcastcares Phoenix Suns are on auto record. NBA Team Channel 752 trying to record tonight. I only want regular broadcast games recorded like TiVo does.,TRUE
@115901 If you set a recording for a sports team it will try to record it on any available network. - Matt,TRUE
"@comcastcares Thanks for your reply but that's why I said Update your Software. If  @115902 knows not to record on an unavailable channel, it's software.",
@115901 We can certainly share your feedback moving forward as we're always looking to improve the customer experience. -DSC,TRUE
Why does @115900 record programs on my DVR from channels I don't subscribe to? Blank recordings. I don't have NBA LP! #UpgradeYourSoftware! https://t.co/0ir2a2rSt1,
@115903 and send us a Direct Message with your account information so that I can see what's going on. –XG,
wow when you want to watch the world series and @115900  decides to have an outage!!!!,
@115904 We'll be sure to pass along your kind words! #AATeam,
@AmericanAir Erica on the lax team is amazing give her a raise ty,
@115904 Our apologies for the delay in responding to you. Have you made it to LAX? Let us know if you still need assistance.,
@AmericanAir Could you have someone on your lax team available to guide me to my gate ASAP,
@AmericanAir have a flight at 330pm (45mins) I’m almost to Lax. I’m legally blind and didn’t know where to let you know I need assistance.,
"@115905 Aww, that's definitely a future pilot in the making! #HappyHalloween",
Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting @americanair … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1,TRUE
@115906 This is a great option for customers who want to share miles and it's cheaper than having to purchase them.,
"@AmericanAir Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program.",
@115906 We're sorry for your frustration.,
"I’m sorry, what? It’s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? @AmericanAir this is ridiculous!!",
"@115907 It's always a pleasure to have you on board, John. Have a wonderful flight over the pond!",TRUE
Heading to London tonight will be there for 5 days doing some exciting stuff:) @AmericanAir get the drinks ready I coming aboard:) JB,TRUE
"@115908 Pilots, Potter, Pumpkins and Skeletons...oh my! They're all adorable.",
Check out these tiny trick-or-treaters all dressed up in our #NICU. Hey @AmericanAir! We have your youngest #pilot in training! #Halloween https://t.co/0C3aXJhiAg,
@115909 We're glad you got to kick back and enjoy a show while flying! Thanks for your kind words.,
"Thank you, @AmericanAir for playing #ThisIsUs and for having great flight attendants on my flight back home!",
"@115910 Hey, Trevor! Send us a DM, and we'll take a closer look! *KellenF",
@115911 Sweet! I’m still paying on my 7plus but I have a jump. Any way to find out what to do in my situation and how much money I need to put down?,
@115910 No sir! You can still preorder at https://t.co/E7pnnCVItW *JoanO,
@115911 Are pre orders done for the X?,
@115910 Go for it Trevor *ErikS,
@115911 I have a question.,
"Be ready for your next iPhone. Join our iPhone upgrade program for free!
 https://t.co/ELb8YQspF6",
@115912 @115913 Thanks for getting that DM sent over - I've got it and am replying now. https://t.co/93XwcSKFIy *RayButler,TRUE
"@115913 @115911 By 'upfront' I hope you don't mean 'upfront fees""!  DM sent!",
@115913 @115911 just called in to switch from AT&amp;T. They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging - shame!,
@115914 Yay for T-Mobile Tuesdays- lets's get you taken care of! Send a DM my way: https://t.co/jGtdfLsVbg *ErikaHoleman,TRUE
@TMobileHelp trying to redeem a free tuesday code and its not letting me telling me theres an error can i get help with this?,
"@115915 Well, we'd be happy to take a look at that and see what's going on, Jenny. DM us, we're here to keep you connected. *JoanO",TRUE
T-Mobile So Bs My Internet Stop Working For 3 Hours https://t.co/YISXwAHace,
@115916 Hey we are here and we want to help! If you have any questions feel free to shoot us a DM! *KatGrisham,TRUE
No. That opportunity has passed. Bad customer experience @115911 &amp; @343   Not going back ever again. #FAIL https://t.co/05pINkDFGd,
@115917 Can I have you DM me at: https://t.co/rYd2PDuSPi *RobFahl,TRUE
@TMobileHelp  https://t.co/tznFggbx3Y,
@115917 We want to help you with this great #TMobileTuesday deal! Shoot me a DM here https://t.co/jAb1JkOMRy  *AngieShaw,TRUE
@TMobileHelp @115918 OK maybe my problem too let me try that resizing.,
@115918 You are welcome and thanks for letting us know. If you need anything else we are here for you. #HappyTMobileTuesday *KennethStone,TRUE
@TMobileHelp Got it. One of them resized to 4x4. So instead of alerting me it just wouldn't take the coupon code. I resized it and it worked. Thanks.,
"@115918 We want this to work perfectly! Do you have at least 10 photos selected? If not, add another and try. DM w/ any questions! *ChrisBradstreet",TRUE
@TMobileHelp @1247 The @10568 code is not working when applied at checkout. Can you please look into this? https://t.co/SJvM7AW24t,
@115919 If you're unhappy with your experience on this call please contact us on our website: https://t.co/rkAZcF6uR3 ^CB,
@VirginTrains so i wait almost 3 hours and then they are rude and arrogant &amp; unhelpful after which she is raising a technical case https://t.co/yi9oxFMatO,
@115920 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ^CB,TRUE
@VirginTrains thanks!,
"@VirginTrains hi! i need some help with a booking i need to change, and made a mistake on. who can i contact?",
"@115919 When amending a ticket the system would show a fare that matches your previous purchase, but this may be higher ^CB",TRUE
"Gotta luv @VirginTrains finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online https://t.co/I7rkohYqaI",
